Age,Weight (kg),Height (m),Max_BPM,Avg_BPM,Resting_BPM,Session_Duration (hours),Calories_Burned,Fat_Percentage,Water_Intake (liters),Workout_Frequency (days/week),Experience_Level,BMI,Gender_Male,Workout_Type_HIIT,Workout_Type_Strength,Workout_Type_Yoga
56,0.703358450519638,-0.10499981364225011,180,157,60,1.285276520393418,1313.0,12.6,3.5,4,3,30.2,True,False,False,True
46,0.05408434929521703,-1.5474477485791083,179,151,66,0.12329996541778836,883.0,33.9,2.1,4,2,32.0,False,True,False,False
32,-0.2753980304306093,-0.5056797955691557,167,122,54,-0.442791176749826,677.0,33.4,2.3,4,2,24.71,False,False,False,False
25,-0.9973520683592566,-0.18513581002763121,190,164,56,-1.992093250050666,532.0,28.8,2.1,3,1,18.41,True,False,True,False
38,-1.3413704354259277,0.5360881574407987,188,158,68,-1.8431218968486622,556.0,29.2,2.8,3,1,14.39,True,False,True,False
56,-0.7647762709057326,-0.34540780279839345,168,156,74,0.9873338139894107,1116.0,15.5,2.7,5,3,20.55,False,True,False,False
36,-0.1688007899310773,-0.024863817256869,174,169,73,0.6893911075854028,1385.0,21.3,2.3,3,2,23.76,True,False,False,False
40,-0.19787276461276754,-1.7077197413498706,189,141,64,0.033917153496585986,895.0,30.6,1.9,3,2,30.57,False,False,False,False
28,2.3216983744670765,1.7381281032215137,185,127,52,-0.6811453418730323,719.0,28.9,2.6,4,2,32.34,True,False,True,False
28,1.3574778808576744,0.9367681393677043,169,136,64,-6.615657053377248e-16,808.0,29.7,2.7,3,1,30.07,True,False,False,False
41,0.0,-0.42554379918377455,188,146,54,-1.3068250253214486,593.0,20.5,3.0,2,1,43.31,True,True,False,False
53,-1.0700320050634828,-0.18513581002763121,175,152,72,-0.3236140941882235,865.0,23.6,3.5,3,2,17.89,True,True,False,False
57,1.8759280960144886,-0.9063597774960594,195,165,61,-0.055465658424616385,1013.0,22.1,2.7,3,2,43.4,True,False,False,False
41,1.0037688555637734,2.2189440815338,179,136,69,-0.23423128226702114,794.0,27.6,3.7,3,1,23.62,True,True,False,False
20,2.127885209922473,0.696360150211561,196,161,54,0.2722713186197923,1195.0,26.4,3.3,3,2,35.93,True,False,False,True
39,-1.5158022835160707,0.21554417189927433,181,131,52,-0.3832026354690251,740.0,26.2,2.1,2,1,13.88,False,False,True,False
19,-0.47405652408882754,-1.5474477485791083,166,167,58,0.21268277733899074,1111.0,29.8,2.3,3,2,27.34,False,True,False,False
41,-1.4528130050390748,0.37581616467003653,182,165,58,-0.20443701162662034,884.0,31.9,1.6,3,1,13.98,False,False,False,False
47,-0.33838730890760527,0.21554417189927433,199,146,56,-0.3832026354690251,742.0,32.8,2.5,3,2,21.81,False,False,True,False
55,0.06862033663606214,-0.42554379918377455,188,167,51,0.3318598599005939,1030.0,25.2,2.2,2,1,26.96,False,True,False,False
19,0.7372757543149437,0.37581616467003653,175,127,72,0.7191853782258035,1048.0,28.9,3.7,4,2,28.41,True,False,True,False
38,-0.09127552411323553,0.37581616467003653,197,142,72,-0.41299690610942524,875.0,25.7,3.1,2,1,22.95,True,False,False,False
